"Ch1","Ch2","Ch3","Ch4"
0.0742272585630417,0.806131601333618,0.0256620086729527,0.0939790904521942
0.0272494740784168,0.758215129375458,0.053295761346817,0.16123965382576
0.0550147704780102,0.44535306096077,0.375913321971893,0.123718827962875
0.0496656894683838,0.756527483463287,0.0296356622129679,0.164171144366264
0.0524634718894958,0.735089719295502,0.12785816192627,0.0845886617898941
0.0570645555853844,0.294564038515091,0.195648610591888,0.452722817659378
0.052663940936327,0.147494316101074,0.411980807781219,0.387860924005508
0.0551563613116741,0.21517051756382,0.0570843555033207,0.672588765621185
0.616573512554169,0.0940938219428062,0.177583888173103,0.111748792231083
0.0910254269838333,0.319318234920502,0.36443817615509,0.225218191742897
0.153240174055099,0.450831443071365,0.201844781637192,0.194083645939827
0.0617846772074699,0.702677369117737,0.0654873475432396,0.170050621032715
0.0907221958041191,0.780651748180389,0.0492482222616673,0.0793778225779533
0.0818680003285408,0.390109688043594,0.224707469344139,0.303314864635468
0.28145295381546,0.107164941728115,0.491666316986084,0.119715824723244
0.0949328392744064,0.0748253986239433,0.551060914993286,0.279180854558945
0.193723678588867,0.540439903736115,0.0421895682811737,0.223646849393845
0.217449992895126,0.0314583368599415,0.683801770210266,0.067289873957634
0.150480791926384,0.0757280513644218,0.602173924446106,0.171617269515991
0.439051389694214,0.0927932485938072,0.0555433332920074,0.412612020969391
0.194984957575798,0.40777325630188,0.0545875579118729,0.342654258012772
0.0833971053361893,0.468383610248566,0.0505654104053974,0.397653877735138
0.451447129249573,0.135986223816872,0.198289170861244,0.214277476072311
0.440653473138809,0.145226925611496,0.187001332640648,0.227118283510208
0.419240266084671,0.106768444180489,0.291776955127716,0.182214349508286
0.0928768217563629,0.241946414113045,0.412730395793915,0.252446383237839
0.176247715950012,0.439346730709076,0.107646860182285,0.276758700609207
0.36406472325325,0.230962187051773,0.231928542256355,0.173044547438622
0.0990292504429817,0.180963009595871,0.418821483850479,0.301186293363571
0.0776601731777191,0.097865603864193,0.387232512235641,0.437241703271866
0.0697248354554176,0.0730976164340973,0.599460005760193,0.257717549800873
0.178220435976982,0.18830469250679,0.300681471824646,0.332793414592743
0.113909184932709,0.191247075796127,0.284087002277374,0.410756766796112
0.105004981160164,0.190693795681,0.574735581874847,0.129565685987473
0.179083794355392,0.204927250742912,0.479850709438324,0.136138260364532
0.490995436906815,0.25351482629776,0.0536041967570782,0.201885566115379
0.440925389528275,0.174812614917755,0.157609477639198,0.22665248811245
0.229950308799744,0.572125792503357,0.0836138874292374,0.11430998891592
0.440845191478729,0.23905436694622,0.210530176758766,0.109570294618607
0.242227330803871,0.331071138381958,0.211037740111351,0.21566379070282
0.283565491437912,0.467485100030899,0.0555037036538124,0.193445682525635
0.284633278846741,0.0630007535219193,0.347399234771729,0.304966777563095
0.236021056771278,0.232404321432114,0.308842182159424,0.222732454538345
0.0826260522007942,0.0319525897502899,0.641064286231995,0.244357049465179
