"No","Ch1","Ch2","Ch3","Ch4"
20,0.304847576211894,0.323338330834583,0.202898550724638,0.168915542228886
26,0.174912543728136,0.191404297851074,0.369815092453773,0.263868065967017
33,0.268865567216392,0.12143928035982,0.186406796601699,0.423288355822089
39,0.160419790104948,0.16591704147926,0.405797101449275,0.267866066966517
42,0.397301349325337,0.102948525737131,0.282858570714643,0.216891554222889
45,0.164917541229385,0.191404297851074,0.403798100949525,0.239880059970015
47,0.24687656171914,0.254372813593203,0.299850074962519,0.198900549725137
56,0.210394802598701,0.279860069965017,0.110444777611194,0.399300349825087
59,0.267866066966517,0.384807596201899,0.142428785607196,0.204897551224388
60,0.16791604197901,0.197401299350325,0.262868565717141,0.371814092953523
65,0.15992003998001,0.138430784607696,0.421289355322339,0.280359820089955
67,0.401799100449775,0.16791604197901,0.203898050974513,0.226386806596702
71,0.192903548225887,0.427286356821589,0.153423288355822,0.226386806596702
73,0.142928535732134,0.229385307346327,0.290354822588706,0.337331334332834
74,0.205897051474263,0.322838580709645,0.132433783108446,0.338830584707646
75,0.112443778110945,0.19240379810095,0.440279860069965,0.254872563718141
78,0.131934032983508,0.177411294352824,0.368315842078961,0.322338830584708
84,0.126936531734133,0.521239380309845,0.130434782608696,0.221389305347326
86,0.254872563718141,0.226386806596702,0.144927536231884,0.373813093453273
95,0.330334832583708,0.174412793603198,0.145427286356822,0.349825087456272
100,0.138430784607696,0.306846576711644,0.366816591704148,0.187906046976512
102,0.150924537731134,0.238380809595202,0.351324337831084,0.259370314842579
110,0.176411794102949,0.153423288355822,0.525237381309345,0.144927536231884
111,0.242378810594703,0.241379310344828,0.19640179910045,0.31984007996002
116,0.294852573713143,0.329335332333833,0.12343828085957,0.252373813093453
117,0.252373813093453,0.143928035982009,0.324837581209395,0.278860569715142
119,0.547226386806597,0.169415292353823,0.102948525737131,0.180409795102449
124,0.142428785607196,0.231884057971014,0.479260369815092,0.146426786606697
132,0.15592203898051,0.377811094452774,0.122438780609695,0.343828085957021
140,0.164917541229385,0.189905047476262,0.311844077961019,0.333333333333333
145,0.278360819590205,0.292353823088456,0.179410294852574,0.249875062468766
150,0.142928535732134,0.259370314842579,0.427286356821589,0.170414792603698
152,0.130434782608696,0.242378810594703,0.412293853073463,0.214892553723138
154,0.159420289855072,0.171914042978511,0.394302848575712,0.274362818590705
156,0.0794602698650675,0.533233383308346,0.222388805597201,0.164917541229385
159,0.339830084957521,0.184907546226887,0.1944027986007,0.280859570214893
168,0.16191904047976,0.291854072963518,0.19240379810095,0.353823088455772
176,0.28335832083958,0.291354322838581,0.207896051974013,0.217391304347826
185,0.269365317341329,0.255372313843078,0.203898050974513,0.271364317841079
205,0.395302348825587,0.0969515242378811,0.348325837081459,0.159420289855072
208,0.122938530734633,0.469765117441279,0.172413793103448,0.23488255872064
209,0.2063968015992,0.12543728135932,0.492253873063468,0.175912043978011
210,0.20439780109945,0.219890054972514,0.239380309845077,0.336331834082959
213,0.110444777611194,0.288855572213893,0.306846576711644,0.293853073463268
215,0.422788605697151,0.162918540729635,0.127936031984008,0.286356821589205
218,0.204897551224388,0.15992003998001,0.190404797601199,0.444777611194403
221,0.247376311844078,0.101449275362319,0.404297851074463,0.24687656171914
234,0.329335332333833,0.0969515242378811,0.247876061969015,0.32583708145927
237,0.11944027986007,0.275862068965517,0.113943028485757,0.490754622688656
238,0.103948025987006,0.158920539730135,0.461269365317341,0.275862068965517
239,0.201399300349825,0.102948525737131,0.471764117941029,0.223888055972014
250,0.116441779110445,0.192903548225887,0.466266866566717,0.224387806096952
254,0.272363818090955,0.367316341829085,0.100449775112444,0.259870064967516
255,0.079960019990005,0.157421289355322,0.117941029485257,0.644677661169415
257,0.128935532233883,0.144927536231884,0.380309845077461,0.345827086456772
267,0.118940529735132,0.219890054972514,0.490254872563718,0.170914542728636
270,0.135932033983008,0.264867566216892,0.136431784107946,0.462768615692154
271,0.1984007996002,0.571214392803598,0.116941529235382,0.11344327836082
278,0.15792103948026,0.596701649175412,0.101449275362319,0.143928035982009
280,0.218390804597701,0.169915042478761,0.106446776611694,0.505247376311844
281,0.362818590704648,0.16191904047976,0.095952023988006,0.379310344827586
282,0.128435782108946,0.141929035482259,0.28335832083958,0.446276861569215
288,0.301349325337331,0.197401299350325,0.259870064967516,0.241379310344828
290,0.112443778110945,0.47776111944028,0.168915542228886,0.24087956021989
293,0.195902048975512,0.217891054472764,0.260869565217391,0.325337331334333
